Index, I_out, Q_out
1125, -50817, -24210
1126, -55178, -8324
1127, -54704, 7479
1128, -52760, 21250
1129, -47607, 32786
1130, -40834, 40850
1131, -33894, 46551
1132, -26113, 50381
1133, -17622, 53206
1134, -7539, 52865
1135, 1417, 51478
1136, 10866, 47511
1137, 18375, 42073
1138, 26112, 37478
1139, 32480, 32176
1140, 35748, 26993
1141, 39790, 22027
1142, 42757, 16152
1143, 45321, 10139
1144, 47231, 2999
1145, 48917, -4724
1146, 48805, -12572
1147, 49466, -20040
1148, 48644, -27388
1149, 48399, -31969
1150, 48841, -35055
1151, 49275, -36608
1152, 49542, -34362
1153, 50031, -29088
1154, 49413, -19282
1155, 48156, -7145
1156, 45255, 8869
1157, 40274, 23982
1158, 35172, 37319
1159, 30034, 46813
1160, 25201, 53355
1161, 21087, 57191
1162, 16010, 57449
1163, 12219, 54527
1164, 6953, 44174
1165, 1141, 26185
1166, -6542, 7245
1167, -9374, -14389
1168, -11629, -29952
1169, -13477, -39893
1170, -13986, -42722
1171, -12268, -44945
1172, -11487, -48012
1173, -9438, -46161
1174, -6295, -33117
1175, 276, -14640
1176, 5936, 9943
1177, 9028, 26530
1178, 11713, 35921
1179, 13357, 40036
1180, 12666, 41942
1181, 11365, 47450
1182, 9397, 48844
1183, 6515, 39023
1184, 524, 20530
1185, -5397, -1558
1186, -8528, -20898
1187, -11705, -35782
1188, -13059, -44004
1189, -10782, -45004
1190, -8414, -48746
1191, -4408, -54575
1192, 1269, -55711
1193, 10141, -49775
1194, 20407, -38348
1195, 30444, -24915
1196, 39797, -13347
1197, 45748, -5130
1198, 50093, -1238
1199, 53507, 602
1200, 56521, -463
1201, 59913, -2797
1202, 62127, -7677
1203, 61883, -13762
1204, 59940, -17856
1205, 56029, -20597
1206, 50157, -21355
1207, 43713, -17978
1208, 36545, -12125
1209, 28458, -3713
1210, 22673, 6702
1211, 18461, 17688
1212, 16492, 28315
1213, 13730, 36294
1214, 12596, 42383
1215, 12230, 47528
1216, 12070, 52189
1217, 12783, 56842
1218, 13205, 59162
1219, 14327, 60309
1220, 14609, 59079
1221, 15196, 57688
1222, 15297, 54517
1223, 13263, 50103
1224, 10501, 46073
1225, 6565, 40883
1226, 1325, 36634
1227, -5424, 31519
1228, -11893, 25820
1229, -19298, 21901
1230, -27618, 18166
1231, -34638, 14401
1232, -41206, 11932
1233, -47614, 10069
1234, -53402, 8194
1235, -59575, 7271
1236, -64240, 7525
1237, -67681, 7742
1238, -69576, 8676
1239, -68249, 11680
1240, -63744, 14114
1241, -54594, 16014
1242, -40754, 16512
1243, -22516, 15140
1244, -5721, 12547
1245, 12747, 8985
1246, 29229, 3666
1247, 36864, -2910
1248, 41505, -8072
1249, 42857, -12254
1250, 45994, -17026
1251, 47487, -20967
1252, 43961, -27503
1253, 34598, -32096
1254, 21261, -36276
1255, 7644, -39281
1256, -4797, -40378
1257, -13476, -41996
1258, -19237, -43044
1259, -21326, -44327
1260, -20845, -48423
1261, -17625, -52149
1262, -13326, -55803
1263, -8729, -58568
1264, -4289, -60310
1265, -1680, -60071
1266, -1906, -58049
1267, -5821, -52956
1268, -13219, -45909
1269, -22766, -36517
1270, -34401, -26040
1271, -44718, -14495
1272, -50146, -3708
1273, -53653, 3884
1274, -54676, 9825
1275, -55032, 13806
1276, -52759, 16854
1277, -44958, 18062
1278, -29047, 15894
1279, -10864, 11429
1280, 8866, 5417
1281, 23547, -1199
1282, 34331, -6702
1283, 40812, -11793
1284, 43217, -13641
1285, 46232, -15315
1286, 47255, -15611
1287, 42246, -15173
1288, 27359, -11853
1289, 10647, -5734
1290, -5097, -982
1291, -21063, 3717
1292, -34624, 9836
1293, -41101, 12712
1294, -45415, 12426
1295, -53473, 13572
1296, -64940, 14618
1297, -69012, 14656
1298, -70808, 14328
1299, -70299, 14276
1300, -65191, 13500
1301, -57665, 13423
1302, -45273, 11450
1303, -30575, 9234
1304, -16304, 6999
1305, -3801, 4333
1306, 12149, 2995
1307, 21930, -175
1308, 31811, -3200
1309, 36330, -7254
1310, 40577, -9855
1311, 45819, -13096
1312, 51715, -14968
1313, 54461, -18324
1314, 55626, -20878
1315, 55214, -23617
1316, 53269, -23634
1317, 50139, -22677
1318, 46809, -19697
1319, 44560, -14837
1320, 41788, -7798
1321, 40838, 1056
1322, 41052, 9731
1323, 41021, 18456
1324, 38773, 27260
1325, 36328, 33985
1326, 31374, 40486
1327, 25334, 46228
1328, 15699, 50076
1329, 2754, 51721
1330, -11623, 50549
1331, -27086, 45975
1332, -40063, 39677
1333, -49335, 31602
1334, -56613, 24863
1335, -59546, 17885
1336, -59465, 11611
1337, -53435, 7048
1338, -39680, 836
1339, -21032, -3828
1340, -136, -8363
1341, 17801, -8781
1342, 35250, -10741
1343, 45415, -10519
1344, 46692, -9493
1345, 48464, -9076
1346, 48993, -8955
1347, 44541, -8346
1348, 27114, -6173
1349, 8404, -4498
1350, -14296, -1203
1351, -32279, 1591
1352, -43628, 5798
1353, -44642, 7112
1354, -46683, 8207
1355, -48275, 12630
1356, -46486, 16077
1357, -31278, 18282
1358, -10072, 18531
1359, 13819, 13684
1360, 34145, 8676
1361, 44073, 254
1362, 47870, -6935
1363, 47694, -13620
